Order_ID,Date,City,Store,Product,Category,Quantity,Unit_Price,Sales,Payment_Mode
CCD1000,2025-10-12,Visakhapatnam,CCD Beach Road,Cappuccino,Coffee,5,167,835,Card
CCD1001,2025-10-28,Delhi,CCD Beach Road,Muffin,Dessert,3,144,432,Cash
CCD1002,2025-03-21,Hyderabad,CCD IT Park,Fries,Food,4,183,732,Cash
CCD1003,2025-05-08,Visakhapatnam,CCD MG Road,Latte,Coffee,3,195,585,Wallet
CCD1004,2025-03-29,Hyderabad,CCD IT Park,Fries,Food,2,174,348,Wallet
CCD1005,2025-07-01,Delhi,CCD Airport,Cappuccino,Coffee,4,191,764,UPI
CCD1006,2025-12-22,Bengaluru,CCD Mall,Cold Coffee,Beverage,2,206,412,UPI
CCD1007,2025-02-26,Mumbai,CCD Beach Road,Cappuccino,Coffee,2,200,400,Card
CCD1008,2025-08-17,Visakhapatnam,CCD Beach Road,Latte,Coffee,4,193,772,Card
CCD1009,2025-12-09,Pune,CCD IT Park,Muffin,Dessert,3,120,360,Wallet
CCD1010,2025-02-13,Chennai,CCD MG Road,Cold Coffee,Beverage,1,215,215,UPI
CCD1011,2025-04-07,Pune,CCD Beach Road,Mocha,Coffee,1,204,204,Card
CCD1012,2025-02-19,Delhi,CCD IT Park,Muffin,Dessert,5,132,660,Wallet
CCD1013,2025-10-02,Delhi,CCD Mall,Muffin,Dessert,2,134,268,Cash
CCD1014,2025-12-30,Pune,CCD MG Road,Muffin,Dessert,5,134,670,Cash
CCD1015,2025-02-18,Hyderabad,CCD IT Park,Tea,Beverage,5,136,680,Cash
CCD1016,2025-03-15,Visakhapatnam,CCD Beach Road,Espresso,Coffee,2,145,290,Card
CCD1017,2025-04-15,Delhi,CCD MG Road,Fries,Food,2,169,338,UPI
CCD1018,2025-03-05,Mumbai,CCD Mall,Sandwich,Food,2,270,540,Cash
CCD1019,2025-09-18,Visakhapatnam,CCD Airport,Muffin,Dessert,3,126,378,Card
CCD1020,2025-06-22,Pune,CCD Mall,Brownie,Dessert,5,171,855,Cash
CCD1021,2025-09-28,Pune,CCD IT Park,Espresso,Coffee,4,144,576,Card
CCD1022,2025-01-04,Chennai,CCD Mall,Cold Coffee,Beverage,4,239,956,Wallet
CCD1023,2025-06-17,Delhi,CCD MG Road,Tea,Beverage,5,107,535,Card
CCD1024,2025-11-28,Hyderabad,CCD IT Park,Cold Coffee,Beverage,2,232,464,Cash
CCD1025,2025-10-16,Mumbai,CCD MG Road,Cappuccino,Coffee,4,178,712,Card
CCD1026,2025-10-05,Visakhapatnam,CCD IT Park,Muffin,Dessert,2,156,312,UPI
CCD1027,2025-10-31,Mumbai,CCD MG Road,Fries,Food,3,175,525,Cash
CCD1028,2025-09-20,Delhi,CCD Airport,Brownie,Dessert,4,142,568,Cash
CCD1029,2025-01-10,Delhi,CCD Airport,Espresso,Coffee,3,130,390,Wallet
CCD1030,2025-08-19,Mumbai,CCD Mall,Muffin,Dessert,4,136,544,UPI
CCD1031,2025-05-12,Chennai,CCD Beach Road,Espresso,Coffee,3,130,390,UPI
CCD1032,2025-09-23,Bengaluru,CCD Mall,Fries,Food,3,182,546,UPI
CCD1033,2025-01-28,Hyderabad,CCD Airport,Cappuccino,Coffee,3,199,597,Cash
CCD1034,2025-09-01,Mumbai,CCD MG Road,Tea,Beverage,3,107,321,Cash
CCD1035,2025-04-13,Hyderabad,CCD MG Road,Cappuccino,Coffee,2,174,348,UPI
CCD1036,2025-07-27,Visakhapatnam,CCD Mall,Brownie,Dessert,3,179,537,Cash
CCD1037,2025-03-30,Hyderabad,CCD Mall,Muffin,Dessert,5,126,630,Cash
CCD1038,2025-05-13,Chennai,CCD Mall,Mocha,Coffee,3,202,606,Wallet
CCD1039,2025-10-16,Mumbai,CCD MG Road,Muffin,Dessert,1,142,142,Wallet
CCD1040,2025-06-19,Hyderabad,CCD Mall,Sandwich,Food,1,256,256,Wallet
CCD1041,2025-07-25,Chennai,CCD Beach Road,Espresso,Coffee,3,137,411,UPI
CCD1042,2025-08-01,Bengaluru,CCD Airport,Latte,Coffee,2,181,362,Card
CCD1043,2025-07-01,Bengaluru,CCD Mall,Tea,Beverage,3,134,402,Wallet
CCD1044,2025-05-24,Bengaluru,CCD Airport,Mocha,Coffee,4,208,832,Card
CCD1045,2025-05-18,Hyderabad,CCD MG Road,Espresso,Coffee,3,132,396,UPI
CCD1046,2025-11-24,Mumbai,CCD Beach Road,Brownie,Dessert,1,172,172,Cash
CCD1047,2025-06-29,Pune,CCD MG Road,Brownie,Dessert,5,149,745,Wallet
CCD1048,2025-03-18,Hyderabad,CCD Mall,Latte,Coffee,3,207,621,Card
CCD1049,2025-10-18,Bengaluru,CCD IT Park,Cappuccino,Coffee,5,174,870,Card
CCD1050,2025-10-05,Delhi,CCD IT Park,Cold Coffee,Beverage,4,216,864,Card
CCD1051,2025-07-29,Chennai,CCD Beach Road,Cold Coffee,Beverage,2,222,444,Card
CCD1052,2025-11-24,Visakhapatnam,CCD MG Road,Latte,Coffee,2,199,398,Card
CCD1053,2025-01-28,Mumbai,CCD IT Park,Mocha,Coffee,2,197,394,Wallet
CCD1054,2025-06-17,Chennai,CCD Beach Road,Brownie,Dessert,3,140,420,Wallet
CCD1055,2025-08-25,Bengaluru,CCD MG Road,Cold Coffee,Beverage,4,239,956,UPI
CCD1056,2025-09-09,Bengaluru,CCD MG Road,Tea,Beverage,3,120,360,Cash
CCD1057,2025-02-05,Bengaluru,CCD Mall,Mocha,Coffee,5,207,1035,UPI
CCD1058,2025-04-27,Hyderabad,CCD Airport,Sandwich,Food,4,250,1000,UPI
CCD1059,2025-06-04,Bengaluru,CCD IT Park,Sandwich,Food,5,246,1230,Card
CCD1060,2025-09-25,Chennai,CCD MG Road,Sandwich,Food,3,270,810,Cash
CCD1061,2025-08-07,Delhi,CCD MG Road,Latte,Coffee,1,194,194,Cash
CCD1062,2025-08-27,Hyderabad,CCD Beach Road,Latte,Coffee,3,182,546,Wallet
CCD1063,2025-02-02,Visakhapatnam,CCD IT Park,Cold Coffee,Beverage,3,206,618,Wallet
CCD1064,2025-03-31,Chennai,CCD IT Park,Espresso,Coffee,1,158,158,UPI
CCD1065,2025-12-19,Hyderabad,CCD IT Park,Sandwich,Food,1,245,245,Wallet
CCD1066,2025-07-15,Hyderabad,CCD Beach Road,Tea,Beverage,1,113,113,Wallet
CCD1067,2025-09-04,Visakhapatnam,CCD MG Road,Espresso,Coffee,2,161,322,Card
CCD1068,2025-07-25,Chennai,CCD Airport,Tea,Beverage,1,106,106,Cash
CCD1069,2025-11-10,Visakhapatnam,CCD IT Park,Sandwich,Food,1,245,245,Card
CCD1070,2025-05-27,Pune,CCD IT Park,Fries,Food,4,160,640,Card
CCD1071,2025-10-20,Hyderabad,CCD IT Park,Sandwich,Food,2,256,512,UPI
CCD1072,2025-07-19,Hyderabad,CCD Airport,Latte,Coffee,3,201,603,UPI
CCD1073,2025-03-02,Pune,CCD MG Road,Fries,Food,5,190,950,Wallet
CCD1074,2025-02-13,Mumbai,CCD Mall,Cappuccino,Coffee,4,178,712,Cash
CCD1075,2025-04-16,Bengaluru,CCD Mall,Latte,Coffee,4,219,876,UPI
CCD1076,2025-07-11,Bengaluru,CCD Airport,Espresso,Coffee,1,134,134,Wallet
CCD1077,2025-04-17,Delhi,CCD IT Park,Sandwich,Food,4,240,960,Cash
CCD1078,2025-04-26,Hyderabad,CCD Beach Road,Latte,Coffee,2,200,400,Wallet
CCD1079,2025-10-23,Pune,CCD Mall,Espresso,Coffee,1,147,147,Cash
CCD1080,2025-11-19,Chennai,CCD MG Road,Muffin,Dessert,4,127,508,UPI
CCD1081,2025-04-25,Pune,CCD Mall,Latte,Coffee,5,185,925,Card
CCD1082,2025-03-13,Hyderabad,CCD Mall,Cold Coffee,Beverage,3,215,645,UPI
CCD1083,2025-11-26,Hyderabad,CCD IT Park,Tea,Beverage,1,114,114,Cash
CCD1084,2025-03-21,Delhi,CCD Mall,Brownie,Dessert,2,147,294,Wallet
CCD1085,2025-11-06,Bengaluru,CCD Beach Road,Latte,Coffee,3,194,582,Wallet
CCD1086,2025-04-01,Hyderabad,CCD Mall,Muffin,Dessert,3,138,414,Wallet
CCD1087,2025-05-21,Hyderabad,CCD Mall,Muffin,Dessert,2,151,302,Wallet
CCD1088,2025-03-31,Chennai,CCD Mall,Latte,Coffee,1,199,199,Wallet
CCD1089,2025-06-30,Delhi,CCD MG Road,Latte,Coffee,3,182,546,Cash
CCD1090,2025-01-10,Bengaluru,CCD Mall,Latte,Coffee,5,212,1060,Wallet
CCD1091,2025-11-10,Delhi,CCD Mall,Sandwich,Food,1,247,247,Card
CCD1092,2025-01-08,Chennai,CCD IT Park,Tea,Beverage,4,118,472,Wallet
CCD1093,2025-01-03,Mumbai,CCD Mall,Fries,Food,3,162,486,Wallet
CCD1094,2025-06-30,Visakhapatnam,CCD IT Park,Tea,Beverage,4,111,444,Card
CCD1095,2025-03-13,Hyderabad,CCD Airport,Brownie,Dessert,1,162,162,Wallet
CCD1096,2025-07-16,Chennai,CCD Mall,Brownie,Dessert,4,172,688,Wallet
CCD1097,2025-12-21,Pune,CCD Beach Road,Mocha,Coffee,5,198,990,Wallet
CCD1098,2025-11-20,Pune,CCD MG Road,Sandwich,Food,2,246,492,Wallet
CCD1099,2025-08-24,Delhi,CCD Beach Road,Tea,Beverage,1,108,108,UPI
CCD1100,2025-07-17,Visakhapatnam,CCD IT Park,Cold Coffee,Beverage,1,227,227,UPI
CCD1101,2025-06-04,Hyderabad,CCD Mall,Cold Coffee,Beverage,1,202,202,Card
CCD1102,2025-08-01,Visakhapatnam,CCD Airport,Mocha,Coffee,1,218,218,Wallet
CCD1103,2025-07-08,Delhi,CCD MG Road,Fries,Food,5,160,800,Wallet
CCD1104,2025-10-29,Delhi,CCD IT Park,Sandwich,Food,1,243,243,Cash
CCD1105,2025-05-20,Pune,CCD Mall,Muffin,Dessert,5,141,705,UPI
CCD1106,2025-05-15,Pune,CCD Airport,Muffin,Dessert,1,151,151,Cash
CCD1107,2025-08-14,Delhi,CCD Airport,Muffin,Dessert,2,129,258,Card
CCD1108,2025-04-30,Hyderabad,CCD Beach Road,Tea,Beverage,2,135,270,Cash
CCD1109,2025-11-17,Delhi,CCD MG Road,Latte,Coffee,5,206,1030,Wallet
CCD1110,2025-10-05,Pune,CCD Mall,Cappuccino,Coffee,3,166,498,Cash
CCD1111,2025-06-23,Visakhapatnam,CCD Mall,Sandwich,Food,1,269,269,Card
CCD1112,2025-08-20,Mumbai,CCD IT Park,Cappuccino,Coffee,2,163,326,Wallet
CCD1113,2025-01-11,Delhi,CCD Mall,Cappuccino,Coffee,3,178,534,UPI
CCD1114,2025-11-20,Delhi,CCD Beach Road,Brownie,Dessert,2,160,320,UPI
CCD1115,2025-08-25,Mumbai,CCD MG Road,Cappuccino,Coffee,1,193,193,UPI
CCD1116,2025-01-01,Delhi,CCD Airport,Mocha,Coffee,4,208,832,Card
CCD1117,2025-09-07,Pune,CCD Airport,Muffin,Dessert,5,154,770,Cash
CCD1118,2025-02-21,Mumbai,CCD MG Road,Mocha,Coffee,5,200,1000,Card
CCD1119,2025-03-06,Delhi,CCD MG Road,Cappuccino,Coffee,2,164,328,Card
CCD1120,2025-05-14,Delhi,CCD IT Park,Brownie,Dessert,1,148,148,UPI
CCD1121,2025-01-12,Visakhapatnam,CCD Airport,Fries,Food,4,187,748,UPI
CCD1122,2025-05-14,Delhi,CCD MG Road,Mocha,Coffee,5,195,975,Wallet
CCD1123,2025-01-25,Pune,CCD MG Road,Espresso,Coffee,3,150,450,Cash
CCD1124,2025-11-01,Visakhapatnam,CCD Airport,Cappuccino,Coffee,3,200,600,Wallet
CCD1125,2025-01-10,Mumbai,CCD IT Park,Cold Coffee,Beverage,5,230,1150,Wallet
CCD1126,2025-08-04,Bengaluru,CCD Airport,Cappuccino,Coffee,2,184,368,Cash
CCD1127,2025-11-07,Hyderabad,CCD Airport,Espresso,Coffee,3,153,459,Card
